,abbreviation,meaning
885,CCB,calcium channel blocker
886,CCC,chronic care clinic
887,CCCA,central centrifugal cicatricial alopecia
888,CCE,"clubbing, cyanosis edema"
889,CCF,congestive cardiac failure
890,CCH,care closer to home
891,CCK,cholecystokinin
892,CCMS,clean catch midstream (specimen)
893,CCNU,lomustine
894,CCP,clinical care pathway
895,CCPD,continuous cycling peritoneal dialysis
896,CCRA,cardiac cath recovery area
897,CCT,certificate of completion of training
898,CCU,critical care unit
899,CCW,counterclockwise
900,CD,chemical dependency
901,Cd,Cadmium (element)
902,CD-ROM,compact disc read-only memory
903,CD4,helper T lymphocytes
904,CD8,cytotoxic T lymphocytes
905,CDA,Certified Dental Assistant
906,CDAD,Clostridium difficile-associated diarrhea
907,CDC,Centers for Disease Control and Prevention
908,CDH,congenital dislocation hip
909,CDHF,chronic diastolic heart failure
910,CDMI,Clinical Digital Maturity Index
911,cDNA,complementary DNA
912,CDT,Clostridium difficile toxin
913,CDU,chemical dependency unit
914,Ce,Cerium (element)
915,CE,continuing education
916,CEA,carcinoembryonic antigen
917,CEH,continuing education hour
918,CEN,Certified Emergency Nurse
919,cert,"certified, certificate"
920,cerv,cervix/cervical
921,CETR,"care, education and treatment review"
922,CEU,continuing education unit
923,CF,cystic fibrosis
924,CFC,chlorofluorocarbon
925,CFR,Certified First Responder
926,CFS,chronic fatigue syndrome
927,CFTR,cystic fibrosis transmembrane regulator
928,CFU,colony forming unit
929,cg,centigram (one hundredth of a gram)
930,CG,chorionic gonadotropin
931,CGA,contact guard assist
932,Cgm,centigram (one hundredth of a gram)
933,cGMP,cyclic guanine monophosphate
934,CGN,chronic glomerulonephritis
935,cGy,centigray
936,ch,chest
937,CH,congenital hypothyroidism
938,ch px,chicken pox
939,CHADS,"congestive heart failure, hypertension, age, diabetes mellitus, prior stroke or TIA"
940,CHB,complete heart block
941,CHC,community health center
942,CHD,congenital heart disease
943,ChE,cholinesterase
944,chem,"chemical, chemistry"
945,chemo,chemotherapy
946,CHF,congestive heart failure
947,CHHA,certified home health aide/agency
948,CHI,closed head injury
949,CHL,conductive hearing loss
950,CHO,carbohydrate
951,chol,cholesterol
952,Chr,chronic
953,CHT,closed head trauma
954,CI,cardiac index
955,Ci,curie
956,CIA,collagen-induced arthritis
957,CIBH,change in bowel habits
958,CIC,circulating immune complex
959,CICU,coronary intensive care unit
960,cig,cigarette
961,CIN,cervical intraepithelial neoplasia
962,CIP,clean in place
963,circ,circulate
964,CIS,carcinoma in situ
965,CISM,critical incident stress management
966,CJD,creutzfeldt-jakob disease
967,CK,creatine kinase
968,CK-MB,"serum creatine kinase, myocardial-bound"
969,CKC,cold knife conization
970,CKD,chronic kidney disease
971,Cl,Chlorine (element)
972,cl,centiliter
973,Cl-,Chloride
974,CLA,certified laboratory assistant
975,CLcr,creatinine clearance
976,CLD,chronic liver disease
977,CLI,critical limb ischemia
978,CLIA,clinical laboratory improvement amendments
979,clin,clinic
980,CLL,chronic lymphocytic leukemia
981,CLN,clinical lead/liaison nurse
982,CLOD,clinical lead for organ donation
983,CLR,clear
984,CLTC,citizens for long-term care
985,CM,cervical mucus
986,cm,centimeter
987,cm2,square centimeter
988,CMA,Certified Medical Assistant
989,CMC,carpo metacarpal
990,CME,continuing medical education
991,CMF,"cyclophosphamide, methotrexate, and fluorouracil"
992,CMG,cystometrogram
993,CMHC,community mental health center
994,CML,chronic myeloid leukemia
995,CMO,care management organization
996,cmp,cardiomyopathy
997,CMP,comprehensive metabolic panel
998,CMS,Centers for Medicare and Medicaid
999,CMT,cervical motion tenderness
1000,CMTC,cutis marmorata telangiectatica congenita
1001,CMV,controlled mechanical ventilator
1002,CN,cognitively normal
1003,CNA,Certified Nurse Aide
1004,CNE,chronic nervous exhaustion
1005,CNH,chondrodermatitis nodularis helices
1006,CNM,Certified Nurse Midwife
1007,CNO,Chief Nursing Officer
1008,CNR,closed nasal reduction
1009,CNS,Clinical Nurse Specialist
1010,CNSC,certified nutrition support clinician
1011,CO,Certified Orthotist
1012,Co,Cobalt (element)
1013,CO2,carbon dioxide
1014,COA,coarctation of the aorta
1015,CoA,Coenzyme A
1016,COAD,chronic obstructive airways disease
1017,coag,coagulation
1018,COB,coordination of benefits
1019,COC,cauterization of the cervix
1020,COCs,combined oral contraceptives (estrogen and progestin)
1021,COG,center of gravity
1022,COH,carbohydrate
1023,COLD,chronic obstructive lung disease
1024,COM,chronic otitis media
1025,COMP,cartilage oligomeric matrix protein
1026,comp.,compound
1027,COMT,catechol-o-methyltransferase
1028,conc,concentrated
1029,cond,condition
1030,cong,congenital
1031,const,constant
1032,cont,continue(d)
1033,contras,contraindications
1034,contrx,contractions
1035,COO,chief operating officer
1036,COP,conditions of participation (Medicare)
1037,COPD,chronic obstructive pulmonary disease
1038,COPE,chronic obstructive pulmonary emphysema
1039,CORE,coordinated outbreak response and evaluation
1040,corr,"correct, correction"
1041,COT,Nicotine/Cotinine (COT test)
1042,COTA,certified occupational therapy assistant
1043,CoV,coronavirus
1044,COWS,clinical opiate withdrawal scale
1045,COX,cyclooxygenase
1046,COX-2,cyclooxygenase 2 (inhibitors)
1047,cP,centipoise unit
1048,CP,cleft palate
1049,CPA,cerebellopontine angle
1050,CPAP,continuous positive airway pressure
1051,CPB,competitive protein binding
1052,CPC,clinicopathologic conference
1053,CPD,congenital polycystic disease
1054,CPE,chronic pulmonary emphysema
1055,CPHSS,Cincinnati Prehospital Stroke Scale
1056,CPhT,Certified Pharmacy Technician
1057,CPK,creatinine phosphokinase
1058,CPM,counts per minute
1059,CPMI,chronic and persistent mental illness
1060,CPP,cerebral perfusion pressure
1061,CPPV,continuous positive pressure ventilation
1062,CPR,cardiopulmonary resuscitation
1063,CPS,Child Protective Services
1064,CPT,chest physiotherapy
1065,CQI,continuous quality improvement
1066,CR,conditioned reflex
1067,Cr,Chromium (element)
1068,CRA,clinical research associate
1069,CRB,clinical reference board
1070,CRC,Certified Rehabilitation Counselor
1071,CrCl,creatinine clearance
1072,CRD,chronic respiratory disease
1073,crea,creatinine
1074,creat,creatinine
1075,CREST,"calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, telangiectasias"
1076,CRF,chronic renal failure
1077,CRH,corticotropin-releasing hormone
1078,CRI,constant rate infusion
1079,CRIF,closed reduction-internal fixation
1080,crit,Hematocrit
1081,CRNA,certified registered nurse anesthetist
1082,cRNA,chromosomal RNA
1083,CRNH,certified registered nurse hospice
1084,CRNP,Certified Registered Nurse Practitioner
1085,CRO,clinical research organization
1086,CRPS,complex regional pain syndrome
1087,CRR,consult review request
1088,CRRT,continuous renal replacement therapy
1089,CRS,congenital rubella syndrome
1090,CRS-R,Conners Rating Scales-Revised
1091,CRT,Certified Respiratory Therapist
1092,Crt,creatinine
1093,CRTT,Certified Respiratory Therapy Technician
1094,CRU,coronary rehabilitation unit
1095,cryo,cryosurgery
1096,CS,culture and sensitivity
1097,cs,conditioned stimulus
1098,Cs,Cesium (element)
1099,CSA,cyclosporin A
1100,CSF,colony-stimulating factor
1101,CSH,combat support hospital
1102,CSHF,chronic systolic heart failure
1103,CSIC,cervical spine immobilization collar
1104,CSII,continuous subcutaneous insulin infusion
1105,CSM,cervical spondylotic myelopathy
1106,CSO,chief scientific officer
1107,CSP,carotid sinus pressure
1108,CSR,central supply room
1109,CSS,central service supply
1110,CST,contraction stress test
1111,CSU,catheter specimen of urine
1112,CT,chest tube
1113,CT scan,computed tomography scan
1114,CT/GC,Chlamydia Trachomatis/Neisseria Gonorrhea
1115,CTA,computerized tomography angiography
1116,CTAB,clear to auscultation bilaterally
1117,CTB,cease to breathe
1118,CTC,computed tomographic colonography
1119,CTCL,Cutaneous T-cell lymphoma
1120,CTD,connective tissue disease
1121,CTE,chronic traumatic encephalopathy
1122,CTG,cathepsin G
1123,CTLSO,cervical thoracic lumbar sacral orthosis
1124,cTnI,cardiac troponin I
1125,cTnT,cardiac troponin T
1126,CTO,clinical trial outline
1127,CTP,"color, temperature, pulse"
1128,CTPA,computed tomography pulmonary angiogram
1129,ctr,control
1130,CTR,carpal tunnel release
1131,CTS,carpal tunnel syndrome
1132,ctx,contraction
1133,CTZ,chemoreceptor trigger zone
1134,Cu,Copper (element)
1135,CU,case unknown
1136,CUC,chronic ulcerative colitis
1137,CUD,carnitine uptake defect
1138,CUm,cubic micron
1139,cur,current
1140,CV,cardiovascular
1141,CVA,cerebrovascular accident
1142,CVAT,costovertebral angle tenderness
1143,CVB,coxsackievirus B
1144,CVC,central venous catheter
1145,CVD,cardiovascular disease
1146,CVI,chronic venous insufficiency
1147,CVL,central venous line
1148,CVOU,cardiovascular outpatient unit
1149,CVRB,critical value read back
1150,CvS,cardiovascular system
1151,CVS,chorionic villus sampling
1152,CVX,cervix
1153,CWD,canal wall down
1154,CWR,canal wall reconstruction
1155,CWU,canal wall up
1156,Cx,cancel
1157,CX,circumflex
1158,Cx Bx,cervical biopsy
1159,CXR,chest x-ray
1160,CY,calendar year
1161,Cy,cyanosis
1162,CYS,children and youth services
1163,cysto,cystoscopy
1164,cytol,cytology
1165,d,date
1166,D,diopter
1167,D Bili,direct bilirubin
1168,D&A,drug and alcohol
1169,D&C,dilation and curettage
1170,D&D,dehydration and diarrhea
1171,D&E,dilation and evacuation
1172,D&O,diagnostic and observation
1173,D&V,diarrhea and vomiting
1174,D-Bili,direct bilirubin
1175,D-Pen,d-penicillamine
1176,D/A,date of admission
1177,D/B,date of birth
1178,D/C,discontinue
1179,D/NS,dextrose in normal saline
1180,d/t,due/to
1181,d/w,discussed with
1182,d4t,stavudine
1183,D5NS,5% dextrose in normal saline
1184,D5W,5% dextrose in water
1185,DA,developmental age
1186,DAH,disordered action of the heart
1187,DAI,diffuse axonal injury
1188,DAPE,"data, assessment, plan, evaluation"
1189,DARE,Drug & Alcohol Resistance Education
1190,DASE,Denver Articulation Screening Examination
1191,DASH,dietary approaches to stop hypertension (meal plan)
1192,DAT,diet as tolerated
1193,dau,daughter
1194,DAW,dispense as written
1195,DB,double-blind
1196,dB,decibel (measurement of sound volume)
1197,DB&C,deep breathing and coughing
1198,dBP,diastolic blood pressure
1199,DBS,deep brain stimulation
1200,DBT,dialectal behavioral therapy
1201,DC,discontinue
1202,DCAP-BTLS,"deformity, contusions, abrasions, punctures/penetrations, burns, tenderness, lacerations, swelling"
1203,DCC,direct current cardioversion
1204,DCIS,ductal carcinoma in situ
1205,dcSSc,diffuse cutaneous systemic sclerosis
1206,DCT,distal convoluted tubule
1207,DD,dry dressing
1208,DDAVP,desmopressin acetate
1209,ddC,zalcitabine
1210,DDH,developmental dysplasia of the hip
1211,ddI,didanosine
1212,dDNA,denatured DNA
1213,DDS,Doctor of Dental Surgery
1214,DDST,Denver Developmental Screening Test
1215,DDx,differential diagnosis
1216,DEA,Drug Enforcement Administration
1217,dec,deceased
1218,dec'd,deceased
1219,DECA,Devereux Early Childhood Assessment
1220,decr,decrease(d)
1221,decub,decubitus (lying down)
1222,def,deficiency
1223,defib,defibrillation
1224,deg,degree
1225,del,"delivery, delivered"
1226,dep,dependent
1227,dept,department
1228,deriv,"derive, derivative"
1229,Derm,dermatology
1230,DES,diethylstilbestrol
1231,desc,"descent, descending"
1232,det.,let it be given (detur)
1233,dev,develop(ment)
1234,DEXA,dual-energy x-ray absorptiometry
1235,DF,dorsiflexion
1236,DFA,direct fluorescent antibody
1237,DFR,dialysate flow rate
1238,DFS,doppler flow studies
1239,DFSP,dermatofibrosarcoma protuberans
1240,DFV,doppler flow velocimetry
1241,DG,dorsal gluteal
1242,dg,decigram (one tenth of a gram)
1243,dgm,decigram (one tenth of a gram)
1244,DH,dermatitis herpetiformis
1245,DHEA,dehydroepiandrosterone
1246,DHEAS,dehydroepiandrosterone sulfate
1247,DHS,dynamic hip screw
1248,DHT,dihydrotestosterone
1249,DHx,drug history
1250,DI,diabetes insipidus
1251,diab,diabetes
1252,diag,diagnosis
1253,diagm,diagram
1254,diam,diameter
1255,DIB,difficulty in breathing
1256,DIC,disseminated intravascular coagulation
1257,DID,dissociative identity disorder
1258,dieb. alt.,every other day
1259,DIF,direct immunofluorescence
1260,dif,differential blood count
1261,DIFA,automated differential
1262,Diff,differential
1263,Dig,digitalis
1264,dig,digoxin
1265,dil,dilation
1266,dil.,dilute(d)
1267,dim,dimension
1268,dim.,halved
1269,DIP,distal interphalangeal (joint)
1270,diph,diphtheria
1271,DIPJ,distal interphalangeal joint
1272,dir,direct
1273,DIRA,deficiency of the interleukin-1-receptor
1274,dis,disabled
1275,disc,discontinue
1276,disch,discharge
1277,DISCUS,dyskinesia identification system condensed user scale
1278,DISH,diffuse idiopathic skeletal hyperostosis
1279,DISIDA,diisopropyl iminodiacetic acid (cholescintigraphy)
1280,disloc,"dislocate, dislocation"
1281,disp,dispense
1282,dissd,dissolved
1283,dissem,disseminated
1284,dist,distribute
1285,div,"divide, division"
1286,DJD,degenerative joint disease
1287,DKA,diabetic ketoacidosis
1288,dkm,decameter
1289,dL,deciliter (100 ml)
1290,DL,direct laryngoscopy
1291,DL-PICC,double lumen peripherally inserted central catheter
1292,DLE,discoid lupus erythematosus
1293,DLH,double lumen hickman
1294,DLS,dynamic lumbar stabilization
1295,DLSO,distal lateral subungual onychomycosis
1296,DLV,delavirdine (antiviral drug)
1297,DLVC,double lumen vascular catheter
1298,DM,diabetes mellitus
1299,dm,"decimeter (100 mm, 0.1 m)"
1300,DMAC,disseminated mycobacterium avium complex
1301,DMARD,disease-modifying anti-rheumatic drug
1302,DMAT,disaster medical assistance team
1303,DMD,Doctor of Medicine in Dentistry
1304,DME,durable medical equipment
1305,DMI,diaphragmatic myocardial infarction
1306,DMPA,depot-medroxyprogesterone acetate
1307,DMSA,"2,3-dimercaptosuccinic acid"
1308,DMSO,dimethylsulfoxide
1309,DN,dibucaine number
1310,DNA,deoxyribonucleic acid
1311,DNH,do not hospitalize
1312,DNI,do not intubate
1313,DNKA,did not keep appointment
1314,DNP,do not publish
1315,DNS,deviated nasal septum
1316,DNT,did not test
1317,DO,Doctor of Osteopathic Medicine
1318,DOA,date of admission
1319,DOB,date of birth
1320,DOC,deoxycorticosterone
1321,DOD,date of death
1322,DOE,date of exam
1323,DOH,department of health
1324,DOI,digital object identifier
1325,DOL,department of labor
1326,dom,dominant
1327,DOMS,delayed onset muscle soreness
1328,DON,director of nursing
1329,DOPT,directly observed preventative therapy
1330,dos,"dose, dosage"
1331,DOS,date of service
1332,DOT,directly observed therapy
1333,DP,dorsalis pedis
1334,DPA,dual-photon absorptiometry
1335,DPAP,diastolic pulmonary artery pressure
1336,DPat,diphtheria-acellular pertussis tetanus (vaccine)
1337,DPGN,diffuse proliferative glomerulonephritis
1338,DPH,Department of Public Health
1339,DPI,dry powder inhaler
1340,DPL,diagnostic peritoneal lavage
1341,DPM,Doctor of Podiatric Medicine
1342,DPT,diphtheria-pertussis-tetanus (vaccine)
1343,DQ,developmental quotient
1344,DR,diagnostic radiography
1345,dr.,dram
1346,Dr.,doctor
1347,DRE,digital rectal examination
1348,DRESS,drug rash with eosinophilia and systemic symptoms
1349,DRF,drip rate factor
1350,DRG,diagnosis-related group
1351,DRI,daily/dietary reference intake
1352,DS,Down's Syndrome
1353,DSA,digital subtraction angiography
1354,DSC,Doctor of Surgical Chiropody
1355,dsDNA,double-stranded DNA
1356,DSM,Diagnostic and Statistical Manual
1357,DSM-IV,"Diagnostic and Statistical Manual of Mental Disorders, 4th Edition"
1358,DSM-V,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition"
1359,DSPS,delayed sleep phase syndrome
1360,DST,decision support tool
1361,DSW,Doctor of Social Work
1362,DT,delirium tremens
1363,DTAD,drain tube attachment device
1364,DTaP,"diphtheria, tetanus, acellular pertussis"
1365,DTH,delayed-type hypersensitivity
1366,DTIC,dacarbazine
1367,DTP,"diphtheria, tetanus, and pertussis (vaccine)"
1368,DTR,deep tendon reflex(es)
1369,DTs,delirium tremens/tremors
1370,DU,diagnosis undetermined
1371,DUB,dysfunctional uterine bleeding
1372,DUE,drug usage evaluation
1373,DUI,driving under the influence
1374,dup,"duplication, duplicate"
1375,DUR,drug utilization review
1376,DV,double vision
1377,DV/SA,domestic violence/sexual assault
1378,DVD,developmental verbal dyspraxia
1379,DVI,deep venous insufficiency
1380,DVM,Doctor of Veterinary Medicine
1381,DVR,division of vocational rehabilitation
1382,DW,distilled water
1383,DWI,driving while intoxicated
1384,DXA,dual x-ray absorptiometry
1385,DXM,dextromethorphan
1386,DXT,radiotherapy
1387,Dy,Dysprosium (element)
1388,Dz,disease
1389,E,Escherichia
1390,E Ab,elective abortion
1391,E&A,evaluate and advise
1392,E&M,evaluation and management
1393,e-IPV,enhanced potency inactivated poliovirus vaccine
1394,e-MAR,electronic medication administration record
1395,E. coli,Escherichia coli
1396,e.g.,for example (exempli gratia)
1397,EA,epidural anesthesia
1398,EAA,essential amino acids
1399,EAB,elective abortion
1400,EAC,external auditory canal
1401,EAE,experimental allergic encephalomyelitis
1402,eAG,estimated average glucose
1403,EAR,estimated average requirement
1404,EB,epidermolysis bullosa
1405,EBA,epidermolysis bullosa acquisita
1406,EBB,endobronchial biopsy
1407,EBBS,equal bilateral breath sounds
1408,EBF,exclusively breastfed
1409,EBH,evidence-based healthcare
1410,EBL,estimated blood loss
1411,EBLL,elevated blood lead level
1412,EBM,evidence-based medicine
1413,EBNA,Epstein-Barr nuclear antigen
1414,EBV,Epstein-Barr virus
1415,EC,emergency center
1416,ECC,extracorporeal circulation
1417,ECCE,extracapsular cataract extraction
1418,ECF,extracellular fluid
1419,Echo,echocardiogra(m/phy)
1420,ECL,electrochemiluminescence
1421,ECLAM,European Consensus Lupus Activity Measure
1422,ECLS,extracorporeal life support
1423,ECMO,extracorporeal membrane oxygenation
1424,ECP,emergency contraceptive pill
1425,ECQ,executive code qualifications
1426,ECR,emergency chemical restraints
1427,ECRB,extensor carpi radialis brevis
1428,ECRL,extensor carpi radialis longus
1429,ECT,electroconvulsive therapy
1430,ECU,extensor carpi ulnaris
1431,ECV,extracellular volume
1432,ED,effective dose
1433,ED&C,electrodessication and curettage
1434,Ed.D,Doctor of Education
1435,EDB,ethylene dibromide
1436,EDC,estimated day of confinement
1437,EDD,estimated date of discharge
1438,EDL,extensor digitorum longus
1439,EDP,erythema dyschromicum perstans
1440,EDR,electrodermal response
1441,EDTA,edetate calcium disodium
1442,educ,education
1443,EDV,epidermodysplasia verruciformis
1444,EE,Ethinyl estradiol
1445,EED,erythema elevatum diutinum
1446,EEE,eastern equine encephalitis
1447,EEG,electroencephalogram
1448,EENT,"eye, ear, nose, and throat"
1449,EER,estimated energy requirement
1450,EES,Erythromycin (erythromycin ethylsuccinate)
1451,EF,ejection fraction
1452,eff,effect
1453,EFM,electronic fetal monitor
1454,EFW,estimated fetal weight
1455,EGA,estimated gestational age
1456,EGD,esophagogastroduodenoscopy
1457,EGF,epidermal growth factor
1458,EGFR,epidermal growth factor receptor [case sensitive]
1459,eGFR,estimated glomerular filtration rate [case sensitive]
1460,EGG,electrogastrography
1461,EH,employee health
1462,EHB,extensor hallucis brevis
1463,EHC,emergency hormonal contraception
1464,EHL,electrohydraulic lithotripsy
1465,EHR,electronic health record
1466,EHS,employee health service
1467,EHT,estrogen hormone therapy
1468,EI,early intervention
1469,EIA,enzyme immunoassay
1470,EIA U,enzyme immunoassay unit
1471,EID,electronic infusion device
1472,EIP,extensor indicis proprius
1473,eIPV,enhanced-potency inactivated poliovirus vaccine
1474,EJ,external jugular
1475,EKG,electrocardiogra(m/phy)
1476,EL,early latent
1477,el,"elect, elective"
1478,elb,elbow
1479,ELDU,extra-label drug use
1480,elev.,elevated
1481,ELF,elective low forceps
1482,ELISA,enzyme-linked immunosorbent assay
1483,elix,elixir
1484,ELS,endolymphatic shunt
1485,EM,electron microscopy
1486,Em,emmetropia
1487,EMA-IgA,immunoglobulin a antiendomysial
1488,Emb,embryo
1489,EMB,endometrial biopsy
1490,EMC,electromagnetic compatibility
1491,emer,emergency
1492,EMF,electromagnetic field
1493,EMG,electromyography
1494,emot,emotion(al)
1495,emp,as directed (modo praescripto)
1496,EMQ,extended matching question
1497,EMR,electronic medical record
1498,EMS,emergency medical service
1499,EMT,emergency medical technician
1500,EMT-P,emergency medical technician paramedic
1501,EN,erythema nodosum
1502,ENA,extractable nuclear antigen
1503,ENDO,endoscop(y/ic)
1504,Endo,endometriosis
1505,Enf,Enfamil
1506,ENG,electronystagmography
1507,enl,enlarged
1508,ENL,erythema nodosum leprosum
1509,ENT,otorhinolaryngology/otolaryngologist
1510,EOA,esophageal obturator airway
1511,EOB,Explanation Of Benefits
1512,EOC,Emergency Operations Center
1513,EOG,electrooculogram
1514,EOLC,end of life care
1515,EOM,extraocular muscles
1516,EOMI,extraocular movements intact
1517,EOP,emergency operations plan
1518,eos,eosinophil
1519,EOS,end of study
1520,EP,ectopic pregnancy
1521,EPA,environmental protection agency
1522,EPB,extensor pollicis brevis
1523,EPEP,end positive expiratory pressure
1524,EPI,echo planar imaging
1525,epi,epinephrine
1526,Epi,epidural
1527,epis,episiotomy
1528,EPITH,epithelial
1529,EPL,extensor pollicis longus
1530,EPO,erythropoietin
1531,EPR,electron paramagnetic resonance
1532,EPS,elastosis perforans serpiginosa
1533,EPSDT,"early and periodic screening, diagnosis, and treatment"
1534,EPSE,extrapyramidal side effects
1535,eq,equal
1536,equip,equipment
1537,equiv,equivalent
1538,ER,external rotation
1539,Er,Erbium (element)
1540,ERCP,endoscopic retrograde cholangiopancreatography
1541,ERG,electroretinogram
1542,ERP,effective refractory period
1543,ERS,education resource specialist
1544,ERT,external radiation therapy
1545,ERV,expiratory reserve volume
1546,ery/dL,erythrocytes per deciliters
1547,ES,electrical stimulation
1548,ESB,electrical stimulation of the brain
1549,ESBL,extended-spectrum beta laminase
1550,ESD,electrostatic discharge
1551,eSET,elective single-embryo transfer
1552,ESG,estrogen
1553,ESIG,electronic signature
1554,ESLD,end-stage liver disease
1555,ESO,esophagus
1556,esoph,esophagus
1557,esp,especially
1558,ESRD,end-stage renal disease
1559,ESRF,end stage renal failure
1560,ESSG,spondylarthropathy study group
1561,EST,electroshock therapy
1562,esub,electronic submission
1563,ESWL,extracorporeal shock wave lithotripsy
1564,ET,eustachian tube
1565,et,and
1566,ET-1,endothelin-1
1567,ETA,embryo toxicity assay
1568,ETC,electron transport chain
1569,etc.,"etcetera, and so on"
1570,ETCO2,end-tidal carbon dioxide
1571,ETD,eustachian tube dysfunction
1572,EtOH,Ethanol or Ethyl alcohol
1573,ETP,elective termination of pregnancy
1574,ETS,environmental tobacco smoke (exposure)
1575,ETT,exercise tolerance test
1576,ETU,endotoxin unit
1577,EU,ELISA unit
1578,Eu,Europium (element)
1579,EUA,emergency use authorization
1580,EUS,endoscopic ultrasound
1581,EV,ELISA value
1582,evac,"evacuate, evacuation"
1583,eval,evaluation
1584,EVAR,endovascular aneurysm repair
1585,EVD,external ventricular drain
1586,EVH,endoscopic vein harvesting
1587,EVOO,extra-virgin olive oil
1588,Ex,examination
1589,exam,examination
1590,exer,exercise
1591,expir,expire
1592,ext,extremity
1593,ext.,external
1594,F,father
1595,F&C,foam and condoms
1596,F&E,fluid and electrolyte
1597,F-V loop,flow volume loop
1598,F/H,family history
1599,F/T,full time
1600,F/U,follow-up
1601,FA,forearm
1602,fa,father
1603,FACC,Fellow of the American College of Cardiology
1604,FACD,Fellow of the American College of Dentists
1605,FACP,Fellow of the American College of Physicians
1606,FACR,Fellow of the American College of Radiology
1607,FACS,"Fellow, American College of Surgeons"
1608,FADL,functional activities of daily living
1609,FAI,functional assessment inventory
1610,fam,family
1611,FAM,fertility awareness method
1612,FAMA,Fellow of the American Medical Association
1613,FANA,fluorescent antinuclear antibodies
1614,FAP,familial adenomatous polyposis
1615,FAPA,Fellow of the American Psychological Association
1616,FAS,fetal alcohol syndrome
1617,fasc,fasciculus
1618,FAX,facsimile
1619,FB,foreign body
1620,FBD,fibrocystic disease
1621,FBG,fasting blood glucose
1622,FBM,fetal breathing movements
1623,FBP,fetal biophysical profile
1624,FBS,fasting blood sugar
1625,FCAS,familial cold auto-inflammatory syndrome
1626,FCB,fibrocystic breast
1627,FCE,functional capacity evaluation
1628,FCR,flexor carpi radialis
1629,FCU,flexor carpi ulnaris
1630,FD,fire department
1631,FDA,Food and Drug Administration
1632,FDB,flexor digitorum brevis
1633,FDIU,fetal death in utero
1634,FDL,flexor digitorum longus
1635,FDLMP,first date last menstrual period
1636,FDP,flexor digitorum profundus
1637,FDS,flexor digitorum superficialis
1638,Fe,Iron (element)
1639,FEES,flexible endoscopic evaluation of swallowing
1640,FEF,forced expiratory flow (rate)
1641,FeLV,feline leukemia virus
1642,fem,femoral
1643,FEM-POP,femoral-popliteal
1644,FES,functional electrical stimulation
1645,FESS,functional endoscopic sinus surgery
1646,FET,forced expiratory technique
1647,FEV,forced expiratory volume
1648,FEV1,forced expiratory volume in 1 second
1649,FF,fundus firm
1650,FFA,free fatty acids
1651,FFF,fully formula fed
1652,FFL,flexible fiberoptic laryngoscopy
1653,FFP,fresh frozen plasma
1654,FFPE,fresh-frozen paraffin-embedded tissue
1655,FFR,fractional flow reserve
1656,FGF,fibroblast growth factor
1657,FGM,female genital mutilation
1658,FGT,female genital tract
1659,FH,family history
1660,FHB,flexor hallucis brevis
1661,FHC,family health center
1662,FHL,flexor hallucis longus
1663,FHR,fetal heart rate
1664,FHS,fetal heart sounds
1665,FHT,fetal heart tone(s)
1666,FHx,family history
1667,fib,fibrillation
1668,FICS,Fellow of the International College of Surgeons
1669,FIFO,"first in, first out"
1670,FIH,first-in-human [clinical trials]
1671,FIM,functional independence measure
1672,FiO2,fraction of inspired oxygen
1673,Fis,fusion inhibitors
1674,FISH,fluorescence in situ hybridization
1675,FIV,forced inspiratory volume
1676,fL,femtoliter
1677,FL,femur length
1678,fl,fluid
1679,fl dr,fluid dram
1680,fl oz,fluid ounce
1681,fl.,flexor
1682,Fl02,fraction of inspired oxygen
1683,fld,fluid
1684,flex,flexion
1685,Flu,influenza
1686,fluoro,fluoroscopy
1687,FM,frequency modulation
1688,fm,family
1689,FMD,family physician
1690,FMF,Familial Mediterranean Fever
1691,FMP,first menstrual period
1692,fMRI,functional magnetic resonance imaging
1693,FMS,fibromyalgia syndrome
1694,FMTE,full mouth tooth extraction
1695,FNA,fine needle aspiration
1696,FNAC,fine-needle aspiration cytology
1697,FNE,fiberoptic nasal endoscopy
1698,FNP,family nurse practitioner
1699,FOB,foot of bed
1700,FOBT,fecal occult blood test
1701,FOC,fronto-occipital circumference
1702,FOD,free of disease
1703,FOI,flight of ideas
1704,FOM,floor of mouth
1705,font,fontanelle
1706,FOUO,for official use only
1707,FP,follicular phase
1708,FPEM,family planning education materials
1709,FPG,fasting plasma glucose
1710,FPIA,fluorescence polarization immunoassay
1711,FPL,flexor pollicis longus
1712,fps,foot-pound-second
1713,FQHC,federally qualified healthcare
1714,FQN,fluoroquinolone
1715,FR,flocculation reaction
1716,fr,from
1717,frac,fracture
1718,frag,fragment
1719,FRC,functional residual capacity
1720,FRCP,Fellow of the Royal College of Physicians
1721,FRCS,Fellow of the Royal College of Surgeons
1722,freq,frequency
1723,FRG,functional related groups
1724,Fri,Friday
1725,FRJM,full range of joint movement
1726,FROM,full range of motion
1727,FRS,flexed rotated side bent
1728,FRV,functional residual volume
1729,FS,frozen section
1730,FSBG,finger stick blood glucose/sugar
1731,FSBS,finger stick blood glucose/sugar
1732,FSE,fetal scalp electrode
1733,FSH,follicle-stimulating hormone
1734,ft,"foot, feet (0.3048 meter)"
1735,FT,fingertip
1736,Ft.,make (fiat)
1737,FTA,fluorescent treponema antigen (test for syphilis)
1738,FTA-ABS,fluorescent treponemal antibody absorption
